VisitTime,TrueAgeVisit,id,index,NumberCase,NumberInfec8,NumberSuscep8,NumberSuscepPersonYrs8,NumberInfec16,NumberSuscep16,NumberSuscepPersonYrs16,NumberInfec32,NumberSuscep32,NumberSuscepPersonYrs32,FoI8mean,FoI8low,FoI8up,FoI16mean,FoI16low,FoI16up,FoI32mean,FoI32low,FoI32up,seroinci.personYrs8mean,seroinci.personYrs8low,seroinci.personYrs8up,seroinci.personYrs16mean,seroinci.personYrs16low,seroinci.personYrs16up,seroinci.personYrs32mean,seroinci.personYrs32low,seroinci.personYrs32up,seroincibytotcase8mean,seroincibytotcase8low,seroincibytotcase8up,seroincibytotcase16mean,seroincibytotcase16low,seroincibytotcase16up,seroincibytotcase32mean,seroincibytotcase32low,seroincibytotcase32up,AnhuaPopSize
season2valid,4,13,4,264,20,117,116.6876712,19,118,117.6986301,18,127,126.4986301,0.170940171,0.107654387,0.251583024,0.161016949,0.099816133,0.239973006,0.141732283,0.086214967,0.214719751,0.171397713,0.107951863,0.252222646,0.161429236,0.100079594,0.240557678,0.142294031,0.086566015,0.215533551,0.075757576,0.046886748,0.114578042,0.071969697,0.043884013,0.110109775,0.068181818,0.040906434,0.105617947,10668
season2valid,5,14,5,259,14,74,73.6109589,14,75,74.60821918,12,80,79.64383562,0.189189189,0.107473021,0.297005338,0.186666667,0.105982468,0.293315456,0.15,0.079981561,0.247364112,0.190189073,0.108064319,0.298465904,0.187646886,0.106561477,0.294750171,0.150670795,0.080351085,0.24840448,0.054054054,0.029863438,0.089031186,0.054054054,0.029863438,0.089031186,0.046332046,0.024166414,0.079533573,11676
season2valid,6,15,6,289,8,82,81.47671233,8,85,84.34794521,10,100,99.23835616,0.097560976,0.043068843,0.183213938,0.094117647,0.041515137,0.177052222,0.1,0.049004689,0.176222598,0.098187565,0.043351851,0.18433282,0.094845227,0.041843223,0.178356044,0.100767489,0.049389273,0.177515916,0.027681661,0.012025138,0.053813217,0.027681661,0.012025138,0.053813217,0.034602076,0.01671545,0.062712247,11495
season2valid,7,16,7,198,0,45,45.04383562,1,47,46.89315068,0,53,52.89589041,0,0,0.0787051,0.021276596,0.000538532,0.112937717,0,0,0.067234546,0,0,0.0786316,0.021325076,0.000539758,0.1131826,0,0,0.067362317,0,0,0.018458226,0.005050505,0.00012786,0.027816893,0,0,0.018458226,10990
season2valid,8,17,8,166,5,34,33.79178082,5,34,33.79178082,6,43,42.69315068,0.147058824,0.049528455,0.31056573,0.147058824,0.049528455,0.31056573,0.139534884,0.052976574,0.2793248,0.147964975,0.049845414,0.312283252,0.147964975,0.049845414,0.312283252,0.140537766,0.053370961,0.281159638,0.030120482,0.009850933,0.06888858,0.030120482,0.009850933,0.06888858,0.036144578,0.013377919,0.077008592,10752
season2valid,9,18,9,128,2,14,13.7890411,2,15,14.79452055,2,28,27.61917808,0.142857143,0.017794515,0.428129161,0.133333333,0.016575913,0.404602697,0.071428571,0.008770497,0.235034773,0.145042718,0.018074854,0.433436338,0.135185185,0.016812484,0.409228578,0.072413451,0.008893152,0.237968955,0.015625,0.001897893,0.05530259,0.015625,0.001897893,0.05530259,0.015625,0.001897893,0.05530259,10184
season2valid,10,19,9.9,65,1,13,13.04931507,1,13,13.04931507,1,15,15.0109589,0.076923077,0.001945628,0.360297435,0.076923077,0.001945628,0.360297435,0.066666667,0.00168643,0.319484567,0.076632375,0.001938283,0.359168268,0.076632375,0.001938283,0.359168268,0.066617996,0.0016852,0.319286049,0.015384615,0.000389429,0.082763088,0.015384615,0.000389429,0.082763088,0.015384615,0.000389429,0.082763088,9702
season2valid,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
season3valid,3,21,3.2,276,43,159,162.3287671,42,159,162.3287671,38,164,167.4109589,0.270440252,0.203142407,0.346505281,0.264150943,0.197480459,0.339832406,0.231707317,0.169488229,0.303882553,0.264894515,0.198810862,0.339772898,0.258734177,0.193272586,0.333224592,0.226986335,0.165914432,0.297983275,0.155797101,0.115103134,0.204064766,0.152173913,0.111926876,0.200078072,0.137681159,0.099307852,0.184047692,12256
season3valid,4,22,4.2,251,28,115,118.739726,28,115,118.739726,27,121,124.9452055,0.243478261,0.168289399,0.33231957,0.243478261,0.168289399,0.33231957,0.223140496,0.152494525,0.307803772,0.235809875,0.162770643,0.322467952,0.235809875,0.162770643,0.322467952,0.216094726,0.147497652,0.298613287,0.111553785,0.075419088,0.157179052,0.111553785,0.075419088,0.157179052,0.107569721,0.072095818,0.152640594,11056
season3valid,5,23,5.2,258,25,102,105.7589041,25,104,107.8383562,23,117,121.4465753,0.245098039,0.165321399,0.340202098,0.240384615,0.162002311,0.334078616,0.196581197,0.12888646,0.280221816,0.236386716,0.159191842,0.328871423,0.23182846,0.155992751,0.322919527,0.189383685,0.124004744,0.270491597,0.096899225,0.063693968,0.13971533,0.096899225,0.063693968,0.13971533,0.089147287,0.057352341,0.130760741,10668
season3valid,6,24,6.2,260,15,56,57.76986301,15,58,59.8630137,16,71,73.24109589,0.267857143,0.158325248,0.403020284,0.25862069,0.152551868,0.390431661,0.225352113,0.134640282,0.33999888,0.259650953,0.153194597,0.39184056,0.250572082,0.147541483,0.37938433,0.218456589,0.130330416,0.330374661,0.057692308,0.032645957,0.093370302,0.057692308,0.032645957,0.093370302,0.061538462,0.035580221,0.098012645,11676
season3valid,7,25,7.2,277,14,67,68.89863014,16,70,72.00273973,18,84,86.5369863,0.208955224,0.119211831,0.325663349,0.228571429,0.136656981,0.344475009,0.214285714,0.132224154,0.31735524,0.203197073,0.115781229,0.31736161,0.222213767,0.132677099,0.335624829,0.208003546,0.128185427,0.30866661,0.050541516,0.027903537,0.083346831,0.057761733,0.033372691,0.09210835,0.064981949,0.038963809,0.100757112,11495
season3valid,8,26,8.2,185,3,44,45.84383562,4,45,46.88219178,3,54,56.15342466,0.068181818,0.014287668,0.18656201,0.088888889,0.024752958,0.212211737,0.055555556,0.011606774,0.153885034,0.065439551,0.013704021,0.179535343,0.085320243,0.023737865,0.204270117,0.053425059,0.011156018,0.148289245,0.016216216,0.00335674,0.046656974,0.021621622,0.005921851,0.054432015,0.016216216,0.00335674,0.046656974,10990
season3valid,9,27,9.2,170,6,27,28.10684932,5,27,28.10684932,6,35,36.42739726,0.222222222,0.08621694,0.42258306,0.185185185,0.063000007,0.380829879,0.171428571,0.065621801,0.3364983,0.213471099,0.082627198,0.40818303,0.177892582,0.060401459,0.367705371,0.164711191,0.06294062,0.324658114,0.035294118,0.013060497,0.075234614,0.029411765,0.009617498,0.067299692,0.035294118,0.013060497,0.075234614,10752
season3valid,10,28,10.1,120,3,16,16.47671233,3,18,18.53150685,4,29,29.91232877,0.1875,0.040473734,0.456456546,0.166666667,0.035785083,0.414177491,0.137931034,0.038894831,0.316640609,0.182075158,0.039247855,0.445635874,0.161886458,0.034716515,0.404198259,0.133724125,0.037667379,0.30802214,0.025,0.005185575,0.071323194,0.025,0.005185575,0.071323194,0.033333333,0.009155506,0.083148721,10184
season3valid,11,29,11,55,2,10,10.45205479,2,10,10.45205479,2,12,12.53150685,0.2,0.025210726,0.556095462,0.2,0.025210726,0.556095462,0.166666667,0.020862525,0.484137749,0.191349934,0.024076305,0.538123293,0.191349934,0.024076305,0.538123293,0.159597726,0.019948408,0.467920591,0.036363636,0.004434547,0.125264257,0.036363636,0.004434547,0.125264257,0.036363636,0.004434547,0.125264257,9702
